LSRNumber,LSRTitle,BillNumber,BillAnalysis,BillURL,PrimeSponsor,Sponsors,pubDate
21-0739,relative to state-ordered counseling.,HB 547,"This bill provides that in a parenting case under RSA 461-A, each party is entitled to at least one evidentiary hearing.",http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=739&txtFormat=html,Betty Gay,"John Reagan, William Marsh, Charlotte DiLorenzo, Mark Pearson, Frances Nutter-Upham, Sue Mullen",12/18/2020
21-0740,relative to records of communications common carriers.,HB 546-FN,This bill provides immunity from criminal charges for a person who reports to law enforcement that such person or another person has been the victim of a violent crime.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=740&txtFormat=html,Josh Yokela,,12/30/2020
21-0741,relative to the sale and distribution of polystyrene food service products.,HB 534,This bill allows municipalities to regulate the time place and manner of use of certain frozen public waters within their boundaries.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=741&txtFormat=html,Judith Spang,"David Watters, Rebecca Whitley, Rebecca Perkins Kwoka",12/30/2020
21-0742,relative to the role of a guardian ad litem in cases where domestic violence is suspected or alleged.,HB 515,This bill provides that the identity of a person reporting that a driver may not be fit to drive shall remain confidential unless the division of motor vehicles deems such report malicious.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=742&txtFormat=html,Betty Gay,"Jeb Bradley, Jacqueline Cali-Pitts, Jordan Ulery, Robert Elliott, Joseph Pitre, Linda Gould, Katherine Prudhomme-O'Brien, Ellen Read, Debra Altschiller",12/30/2020
21-0743,relative to the penalties for possession of certain controlled drugs.,HB 555,This bill amends the absentee voter application form and absentee voting affidavits to make clear that certain persons confined to penal institutions may vote by absentee ballot.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=743&txtFormat=html,Cam Kenney,"John Reagan, Timothy Horrigan, Max Abramson, James Spillane, Ellen Read, Sherry Frost, Kristina Schultz, Manny Espitia, Tony Labranche, Stephanie Hyland",12/16/2020
21-0744,establishing a commission to investigate emerging markets for biomass and low grade timber and wood resources.,,,,Douglas Thomas,"Sharon Carson, Jeb Bradley, Jacqueline Cali-Pitts, Timothy Lang, Howard Pearl, Erin Hennessey",12/23/2020
21-0745,"relative to domicile residency, voter registration, and investigation of voter verification letters, and relative to the terms ""resident,"" ""inhabitant,"" ""residence,"" and ""residency.""",,,,Timothy Horrigan,"Judith Spang, Paul Berch, Ellen Read, Sherry Frost, Bruce Cohen, Cam Kenney",12/17/2020
21-0746,establishing a committee to study regulations for private pool safety in New Hampshire.,HB 522-FN,This bill changes the annual motor vehicle inspection requirement for certain vehicles to a biennial requirement.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=746&txtFormat=html,Gaby Grossman,,12/30/2020
21-0748,prohibiting no-knock warrants.,,,,Amanda Bouldin,"John Bordenet, Allison Nutting-Wong, Charlotte DiLorenzo, Amanda Gourgue, Andrew Bouldin, Rebecca McWilliams, David Meuse, Cindy Rosenwald, Kevin Craig, Rebecca Whitley, Tony Labranche",12/17/2020
21-0749,relative to the governor's power to initiate a state of emergency and various emergency powers.,HB 524-FN,This bill requires the secretary of state to conduct verification counts of random polling places for the purpose of determining the accuracy of machine counted vote totals.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=749&txtFormat=html,David Binford,"Glen Aldrich, Max Abramson, Brian Seaworth, Dave Testerman, Kevin Verville, Josh Yokela, Gregg Hough, Jeffrey Greeson, Tina Harley",12/30/2020
21-0751,"establishing the Richard ""Dick"" Hinch education freedom account program.
",HB 545,"This bill allows out-of-state banks with a branch in New Hampshire to accept deposits and investments of public funds from the state treasurer and city, town, and school district treasurers.",http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=751&txtFormat=html,Sherman Packard,"Chuck Morse, Jeb Bradley, John Reagan, Rick Ladd, Carol McGuire, Karen Umberger, Jason Osborne, Maureen Mooney, Jess Edwards, Ruth Ward",12/30/2020
21-0752,"relative to the definition of ""temporary"" as it pertains to residence in the state for voting purposes.",HB 508,"This bill establishes a committee to study the definition of ""temporary"" as it pertains to residence in the state for voting purposes.",http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=752&txtFormat=html,Peter Torosian,"Chris True, John Janigian, Michael Gunski",12/10/2020
21-0753,"relative to the use of certain out-of-state banks by the state treasurer and municipal and county treasurers or trustees.
",,,,Larry Laflamme,Troy Merner,12/30/2020
21-0754,establishing a road usage registration fee and making an appropriation therefor.,,,,Peter Somssich,"Laura Pantelakos, Gerald Ward, Rebecca McBeath, David Meuse",12/30/2020
21-0755,requiring the secretary of state to conduct random recounts of certain elections.,HB 275,This bill revises the governor's emergency management powers and requires the legislature or executive council to renew a state of emergency.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=755&txtFormat=html,Timothy Lang,"Ellen Read, Michael Yakubovich",12/24/2020
21-0756,"requiring the department of environmental services to report on shoreland and wetlands non-major impact projects under the permit by notification process.
",HB 507,"This bill prohibits a law enforcement officer from seeking, executing, or participating in the execution of a no-knock search warrant.",http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=756&txtFormat=html,Mark McConkey,"Karen Umberger, Glenn Cordelli, Lino Avellani",12/29/2020
21-0757,"requiring a person who registers to vote without any identification to have his or her photo taken before his or her registration to vote is complete.
",,,,Betty Gay,"Robert Elliott, Joe Sweeney, Fred Doucette, Katherine Prudhomme-O'Brien, David Love, John Janigian, Mark Pearson, Leah Cushman, Wayne MacDonald",12/17/2020
21-0758,relative to motor vehicle inspections for new vehicles.,,,,Peter Torosian,"Glenn Cordelli, James Spillane, John Janigian, Casey Conley, Tony Lekas",12/15/2020
21-0759,allowing registers of deeds to retain a portion of the land and community heritage investment program surcharge.,HB 538,"This bill modifies the definition of domicile for voting purposes, modifies forms and procedures used for voter registration, and removes the requirement that the secretary of state conduct post-election voter registration inquiries.  This bill also amends the general statutory definitions of ""resident or inhabitant"" and ""residence or residency"" to include an intent to maintain a principal place of physical presence for the indefinite future.  The bill restores language removed from the law in 2018, 370 (HB 1264).",http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=759&txtFormat=html,Mark McConkey,"Karen Umberger, Glenn Cordelli, Lino Avellani",11/20/2020
21-0760,relative to the New Hampshire trust code.,HB 514,This bill repeals the requirement that the average deviation from equal rotation for first party column position on ballots be no greater than one percent.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=760&txtFormat=html,Lou D'Allesandro,,12/28/2020
21-0761,relative to prisoners' voting rights.,,,,Andrew Bouldin,"Amanda Bouldin, Allison Nutting-Wong, Donald Bouchard, Cam Kenney",12/29/2020
21-0762,relative to confidentiality for reporting possibly medically unfit drivers.,HB 537,This bill allows for the state primary election to be held on the first Tuesday in September when necessary to comply with federal requirements for sending ballots to UOCAVA voters 45 days before a general election.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=762&txtFormat=html,Betty Gay,"Robert Elliott, Joseph Pitre, Katherine Prudhomme-O'Brien, Dan Wolf, David Love, Ellen Read, Cassandra  Levesque, Wayne MacDonald",12/28/2020
21-0763,relative to municipal control of certain frozen water bodies.,,,,Mary Beth Walz,Gary Woods,12/10/2020
21-0764,relative to 911 immunity for reporting that a person has been the victim of a violent crime.,HB 513,"This bill requires approval by the higher education commission as a prerequisite to the granting of a degree by an educational institution.  The bill also authorizes Signum university to grant degrees, subject to approval by the higher education commission.",http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=764&txtFormat=html,Amanda Bouldin,"David Watters, John Reagan, John Bordenet, Charlotte DiLorenzo, Casey Conley, Andrew Bouldin, David Meuse, Terry Roy, Daryl Abbas, Cindy Rosenwald, Rebecca Whitley",12/29/2020
21-0765,relative to the opportunity for evidentiary hearings in parenting cases.,,,,Betty Gay,"Robert Elliott, Linda Gould, Katherine Prudhomme-O'Brien, David Love, Mark Pearson, Andrew Bouldin, Cassandra  Levesque, Leah Cushman, Susan Vandecasteele",12/31/2020
21-0766,"relative to a paid sick time.

",,,,Mary Jane Wallner,"Debra Altschiller, Kate Murray, Kristina Schultz, Safiya Wazir, Cindy Rosenwald, Rebecca Whitley",12/24/2020
21-0767,making a capital appropriation for the digitization and preservation of certain New Hampshire supreme court records.,HB 501,This bill establishes a minimum pay rate for adjunct faculty of the university system of New Hampshire and community college system of New Hampshire.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=767&txtFormat=html,Patrick Abrami,"Lou D'Allesandro, Jeb Bradley, Kenneth Weyler",12/15/2020
21-0770,"relative to portraits and memorial objects in the state house, legislative office building, and Upham Walker house.",HB 563,This bill establishes a committee to study a living wage and the utilization of public assistance among low wage workers and their families in New Hampshire.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=770&txtFormat=html,Janet Wall,,12/15/2020
21-0772,"relative to prescriptions for the treatment of attention deficit disorder or attention deficit disorder with hyperactivity.

",,,,Mary Beth Walz,Gary Woods,12/30/2020
21-0773,relative to the chartered public school annual grant for leased space.,HB 557,This bill repeals the authority of commissioner of the department of corrections and a county correctional facility to discipline an inmate using close or solitary confinement.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=773&txtFormat=html,Maureen Mooney,"John Reagan, Glenn Cordelli, Gary Daniels, Barbara Comtois, Robert Healey",12/2/2020
21-0774,exempting victims of trafficking in persons from participating in children in need of services proceedings.,HB 500,,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=774&txtFormat=html,Linda Massimilla,"Laura Pantelakos, Timothy Smith, Timothy Egan, Anita Burroughs, Gary Merchant, Erin Hennessey",1/4/2021
21-0776,relative to fines for persons convicted of trafficking in persons or commercial sexual exploitation.,,,,Linda Massimilla,,1/5/2021
21-0777,a resolution urging the President to pardon Gerald DeLemus.,,,,Susan DeLemus,,12/22/2020
21-0778,relative to reducing school food waste and addressing child hunger.,HB 562,This bill exempts victims of human trafficking from involvement in children in need of services proceedings where the conduct in question was committed as a direct result of being trafficked.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=778&txtFormat=html,Tom Loughman,"Ruth Ward, Tom Sherman, Megan Murray, Cam Kenney, Sue Mullen",12/30/2020
21-0779,relative to the authority of state and county correctional facilities to discipline inmates using close or solitary confinement.,HB 521-FN,This bill increases the limit on the amount of the annual grant for leased space provided to a chartered public school.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=779&txtFormat=html,Amanda Bouldin,"Caroletta Alicea, John Bordenet, Allison Nutting-Wong, Charlotte DiLorenzo, Kate Murray, Amanda Gourgue, Andrew Bouldin, David Meuse, Terry Roy",12/30/2020
21-0780,relative to the school building aid program.,HB 582,This bill allows for certain prescriptions for treatment of attention deficit disorder or attention deficit disorder with hyperactivity to be for 90 days.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=780&txtFormat=html,David Luneau,Michael Cahill,12/22/2020
21-0781,relative to emergency housing assistance.,,,,Casey Conley,Rebecca Perkins Kwoka,12/28/2020
