LSRNumber,LSRTitle,BillNumber,BillAnalysis,BillURL,PrimeSponsor,Sponsors,pubDate
21-0478,"prohibiting the sharing of location data.
",,,,Kurt Wuelper,"Marjorie Smith, Linda Gould, Dave Testerman, Kevin Verville, Scott Wallace, Tony Lekas",12/4/2020
21-0480,establishing a committee to study applications of microgrids in electricity supply.,HB 392,This bill requires that all voting members of local land use boards shall be residents of the communities in which they serve.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=480&txtFormat=html,Peter Somssich,"David Meuse, Joan Hamblet",12/30/2020
21-0481,"relative to workers' compensation for heart and lung disease in firefighters.
",,,,Mark Pearson,"Jeffrey Goley, Steve Shurtleff, Michael O'Brien, Timothy Soucy, Fred Doucette, Kevin Pratt, Stephen Pearson, Tom Lanzara",12/3/2020
21-0483,relative to takings of property in a declared emergency.,HB 407,"This bill expands the authority of a limited producer of electrical energy to sell its output to retail electricity customers located within the same New Hampshire electric distribution utility franchise area as the limited producer, and includes qualifying electrical energy storage.",http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=483&txtFormat=html,Michael Sylvia,Alicia Lekas,12/28/2020
21-0484,"relative to the indication of blood type on drivers’ licenses and nondrivers’ picture identification cards.
",HB 496-FN,"This bill prohibits persons from attaching or permitting to be attached to a license plate any coverings that are colored, smoked, or tinted.",http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=484&txtFormat=html,Harry Bean,,12/30/2020
21-0485, designating police and fire dispatchers as group II members of the retirement system.,,,,Douglas Trottier,"Mike Bordes, Richard Littlefield, Juliet Harvey-Bolia, Travis O'Hara",12/4/2020
21-0487,relative to filling certain vacancies among members of school boards and other school district offices.,HB 383,This bill permits municipalities with semi-annual or quarterly billing to submit an adjusted rate application to the department of revenue administration in the event of an increase of 15 percent or more in the amount of property taxes to be raised for the current year as compared to the previous year.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=487&txtFormat=html,Rosemarie Rung,David Danielson,12/3/2020
21-0488,"establishing a commission to study the short and long term impacts of pending national and regional carbon pricing mechanisms on New Hampshire’s residents, agriculture, wildlife and natural resources-based tourism sector, and commercial enterprises.  ",,,,Lee Oxenham,,12/30/2020
21-0490,"abolishing fluoridation in water.
",,,,Leah Cushman,"Peter Schmidt, Raymond Howard, Max Abramson, Michael Moffett, David Binford, Jose Cambrils",12/3/2020
21-0491,relative to the quarterly or semi-annual collection of taxes in certain municipalities.,,,,Marjorie Porter,Julie Gilman,12/28/2020
21-0492,relative to proceedings of the public utilities commission on rates and charges.,HB 323,This bill requires schools to provide parents and teachers with an annual report of individual student performance on the statewide assessment.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=492&txtFormat=html,Michael Harrington,Michael Vose,1/5/2021
21-0493,relative to distracted walking and pedestrian safety.,HB 379,"This bill defines electronic notice and expressly authorizes electronic notice in lieu of newspaper publication in certain statutes that require a city, town, or other political subdivision to provide notice of a meeting, hearing or other event.",http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=493&txtFormat=html,Robert Theberge,,12/3/2020
21-0494,relative to license plate covers.,HB 381-FN,This bill authorizes laboratory testing without a licensed medical practitioner's order.  The bill adds rulemaking authority for the purposes of the bill.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=494&txtFormat=html,Stephen Pearson,,12/18/2020
21-0495,relative to the purchase of output of limited electrical energy producers in intrastate commerce and including qualifying storage system.,HB 352,This bill requires the commissioner of the department of safety to adopt rules relative to the safe operation of recreational vehicles on state roads and highways.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=495&txtFormat=html,Kat McGhee,,1/5/2021
21-0497,relative to the establishment of a joint legislative emergency executive order oversight committee during a declared state of emergency.,HB 380,This bill changes the terms of the Grafton county commissioners beginning in 2022 so that one member is elected to a 4-year term at each general election.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=497&txtFormat=html,Timothy Lang,"Michael Moffett, William Marsh, Howard Pearl, Jess Edwards, Joe Alexander, Deborah Hobson, Judy Aron, Mike Bordes",12/28/2020
21-0498,relative to the revised uniform law on notarial acts and the uniform real property electronic recording act.,HB 382,This bill  establishes a commission to study the utility rate structure of demand charges.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=498&txtFormat=html,Kevin Cavanaugh,"David Danielson, Erin Hennessey",1/5/2021
21-0499,establishing a commission to study the utility rate structure of demand charges.,,,,Peter Leishman,Karen Umberger,12/30/2020
21-0500,relative to the election of Grafton county commissioners.,HB 389,This bill provides for establishment of a joint legislative emergency executive order oversight committee upon declaration of a state of emergency.  Emergency executive orders issued by the governor during a state of emergency shall expire after 21 days unless their renewal is approved by the committee or a special session of the legislature.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=500&txtFormat=html,Edward Gordon,"Susan Almy, Rick Ladd, Suzanne Smith, George Sykes, Erin Hennessey",11/25/2020
21-0501,"repealing the therapeutic use of cannabis advisory council.
",HB 406,This bill requires that the public be permitted to observe the processing and counting of absentee ballots.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=501&txtFormat=html,Dennis Acton,,12/7/2020
21-0502,relative to operation of recreational vehicles on state highways.,HB 333,"This bill regulates the preparation, distribution, and sale of kratom products.",http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=502&txtFormat=html,Peter Leishman,,12/29/2020
21-0503,"relative to laboratory testing.
",,,,Jess Edwards,"William Marsh, Brodie Deshaies",1/5/2021
21-0504,relative to electronic notice.,HB 419-FN,This bill establishes an enhanced criminal penalty for assault of a campaign worker at a polling place.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=504&txtFormat=html,Tom Dolan,"Max Abramson, William Marsh, Jess Edwards, Jim Maggiore, Tony Lekas, John MacDonald, Mike Bordes, Brodie Deshaies",1/5/2021
21-0505,relative to a statewide student assessment report.,,,,Rick Ladd,"Kenneth Weyler, Ralph Boehm, Karen Umberger, Steven Smith, Glenn Cordelli, Jason Osborne, Alicia Lekas",12/3/2020
21-0506,repealing the emergency medical services personnel licensure interstate compact.,,,,Cindy Rosenwald,"Sharon Carson, Jeffrey Goley, Michael O'Brien, David Milz, Kevin Cavanaugh, Stephen Pearson",12/9/2020
21-0510,relative to the energy consumption reduction goal.,HB 354,This bill makes the language relative to local adoption of sports betting parallel to the language relative to local adoption of keno.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=510&txtFormat=html,Michael Harrington,,12/30/2020
21-0511,relative to training and procedures for zoning and planning boards and relative to financial investments and incentives for affordable housing development.,,,,Joe Alexander,"Karen Umberger, Richard Lascelles, Anita Burroughs, Willis Griffith, Erin Hennessey, Rebecca Perkins Kwoka",12/30/2020
21-0512,relative to historic horse racing.,HB 330,This bill allows tier II sports wagers and removes the limit on the number of operations sports book locations.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=512&txtFormat=html,Patrick Abrami,"Donna Soucy, John Graham, Fred Doucette, Timothy Lang, Kevin Cavanaugh, Casey Conley, Jennie Gomarlo, Erin Hennessey",1/5/2021
21-0513,relative to permitting fees under the shoreland protection act.,HB 397,This bill exempts nonprofit organizations from permitting fees under the shoreland protection act.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=513&txtFormat=html,Howard Pearl,"Al Baldasaro, Timothy Lang, Bill Gannon, Harold French",11/30/2020
21-0514,relative to sports book locations.,,,,Timothy Lang,"Michael Moffett, Howard Pearl, Scott Wallace, Tony Lekas, Mike Bordes, Douglas Trottier, Cody Belanger",11/17/2020
21-0515,"relative to electronic cigarettes and the disposal of electronic cigarette devices.
",HB 586-FN-A-LOCAL,This bill:,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=515&txtFormat=html,David Watters,,12/1/2020
21-0516,relative to the local option for sports betting.,HB 399,,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=516&txtFormat=html,Timothy Lang,"Michael Moffett, Howard Pearl, Douglas Trottier",12/29/2020
21-0517,relative to changing a pupil's school or assignment because of a manifest educational hardship.,HB 309,This bill revises the methodology for the public utilities commission to estimate renewable energy credits for certain sources that are net metered.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=517&txtFormat=html,Rick Ladd,"Barbara Shaw, Ralph Boehm, Joseph Pitre, Glenn Cordelli",12/8/2020
21-0518,relative to Keno.,HB 308,This bill provides for payment of pole replacement costs when necessary to accommodate the provisioning of broadband Internet services.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=518&txtFormat=html,Timothy Lang,"Mike Bordes, Gregg Hough, Dawn Johnson, Douglas Trottier",12/30/2020
21-0519,relative to deadlines for consideration of developments of regional impact by planning boards.,,,,Brian Seaworth,Regina Birdsell,12/7/2020
21-0520,relative to domestic insurance company investments.,HB 530,This bill allows an employer to share certain information with a law enforcement agency about a candidate for a position as a peace officer or other position within a law enforcement agency.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=520&txtFormat=html,Lou D'Allesandro,"David Watters, John Hunt",12/24/2020
21-0521,relative to itemized statements filed by political committees and candidates.,HB 405,"This bill modifies the procedures for out-of-state applicants for professional licensure or certification to be issued a license or certificate in this state, allows for appeals of decisions, and provides for licensure or certification based on work experience and private certification.",http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=521&txtFormat=html,James Gray,,12/17/2020
21-0522,relative to assault of a campaign worker at the polling place.,HB 404,This bill deletes the frequency provision from the requirement that selectmen perambulate the lines between the towns.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=522&txtFormat=html,Katherine Prudhomme-O'Brien,"David Love, Bob Lynn",1/5/2021
21-0523,"relative to the municipal winter maintenance certification program.
",HB 531-FN-LOCAL,This bill eliminates the qualified voter affidavit and establishes provisional registration and voting procedures.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=523&txtFormat=html,Chuck Morse,,12/4/2020
21-0524,relative to the sale and distribution of kratom products.,HB 289,This bill adds certain electrical storage facilities to the definition of energy facility.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=524&txtFormat=html,Hershel Nunez,Aidan Ankarberg,1/5/2021
21-0525,relative to the ability of the public to observe the processing and counting of absentee ballots.,HB 350,This bill permits qualifying patients and designated caregivers to cultivate cannabis for therapeutic use.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=525&txtFormat=html,David Love,"Joseph Pitre, Katherine Prudhomme-O'Brien, Scott Wallace",12/18/2020
21-0526,relative to the restoration of involuntarily merged lots.,HB 401,This bill:,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=526&txtFormat=html,Rebecca McBeath,,1/5/2021
21-0529,relative to verification of voter checklists.,HB 533,This bill establishes a division of investigation and compliance within the lottery commission.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=529&txtFormat=html,Erica Layon,"John Potucek, Katherine Prudhomme-O'Brien, Douglas Thomas, Regina Birdsell, David Love",12/23/2020
21-0530,requiring that voters show identification when personally delivering absentee ballots to town and city clerks.,HB 327,This bill requires a city or town clerk to mark the affidavit envelope of an in-person absentee voter verifying that such person presented identification when returning his or her ballot.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=530&txtFormat=html,Katherine Prudhomme-O'Brien,"Max Abramson, John Potucek, Chris True, David Love, Beth Folsom",12/23/2020
21-0531,establishing a division of investigation and compliance in the lottery commission.,HB 285,This bill modifies the procedures for ongoing verification of the information contained in voter checklists.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=531&txtFormat=html,Patrick Abrami,"Fred Doucette, Daryl Abbas",1/4/2021
21-0533,"relative to the aggregation of electric customers.
",SB 26,This bill:,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=533&txtFormat=html,Michael Vose,"Douglas Thomas, Michael Harrington",12/30/2020
21-0534,relative to the duty of school superintendents regarding criminal history records checks.,HB 284,This bill extends the deadline for requests for restoration of lots that were involuntarily merged.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=534&txtFormat=html,Sue Mullen,"Mel Myler, Linda Tanner, Patricia Cornell, Stephen Woodcock, Megan Murray, James Allard",12/11/2020
21-0535,permitting qualifying patients and designated caregivers to cultivate cannabis for therapeutic use.,HB 283,This bill proclaims April 11 as Wentworth Cheswill Day.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=535&txtFormat=html,Dennis Acton,Robert Renny Cushing,12/11/2020
21-0536,relative to including electrical storage facilities in the definition of energy facility.,HB 307,"This bill provides state preemption of the regulation of firearms, ammunition, ammunition components, knives, and firearms components and accessories.",http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=536&txtFormat=html,Michael Harrington,,12/24/2020
21-0537,relative to determining the qualifications of voters and establishing provisional voter registration and provisional ballots.,,,,Bob Lynn,Max Abramson,12/11/2020
21-0538,relative to the perambulation of town lines.,HB 306,"This bill directs the house ways and means committee to consider revenue estimates for the state while operating under the emergency executive orders issued in response to the COVID-19 pandemic.  The committee shall regularly update the estimates throughout fiscal years 2021, 2022, and 2023.",http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=538&txtFormat=html,Michael Harrington,,12/10/2020
21-0539,"relative to out-of-state applicants occupational licensure or certification.
 ",HB 293,This bill provides that a home assessment shall not be required in adoption cases if the parents are deceased or their parental rights have been terminated and the child has lived with the prospective adoptive parents for at least 2 years.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=539&txtFormat=html,Michael Harrington,,12/28/2020
21-0540,relative to candidate background checks for law enforcement officers.,HB 282,This bill deletes the requirement that a private school be nonsectarian in order to be approved as a school tuition program.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=540&txtFormat=html,Tom Dolan,Tony Lekas,12/29/2020
21-0541,relative to the protection of fetal life.,HB 312,This bill:,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=541&txtFormat=html,Beth Folsom,"Jeanine Notter, Linda Gould, Katherine Prudhomme-O'Brien, Regina Birdsell, Maureen Mooney, Walter Stapleton, Ruth Ward",12/15/2020
21-0542,relative to broadband access to pole attachments.,HB 302,"This bill clarifies the authority of the department of information technology, in cooperation with the secretary of state and the department of administrative services, to set standards for the creations, retention, and acceptance of electronic records by government agencies.",http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=542&txtFormat=html,William Marsh,"Jeb Bradley, Karel Crawford, Bill Nelson, Jerry Knirk, Jay Kahn, John MacDonald, Brodie Deshaies",12/11/2020
21-0543,relative to the computation of renewable energy credits.,HB 425-FN,This bill establishes the positions of chief information security officer and deputy chief information security officer in the department of information technology.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=543&txtFormat=html,Michael Harrington,,12/23/2020
21-0545,"requiring certain licensing and reporting functions be conducted through the Nationwide Multistate Licensing System and Registry, and relative to background investigations of trust officers, to certain filing fees, assessments, and interest rates, and to the transmission of consumer complaints by the banking department.",,,,John Hunt,,12/8/2020
21-0546,establishing the position of chief information security officer and deputy chief information security officer in the department of information technology.,HB 443-FN,This bill provides for an extended term of imprisonment for an assault conviction against a member of the United States armed services.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=546&txtFormat=html,Lynne Ober,,12/10/2020
21-0547,relative to the creation and use of electronic records by government agencies.,,,,Lynne Ober,,12/28/2020
21-0548,"relative to deadlines in consumer credit applications, licensing requirements for mortgage loan originators, examinations of family trust companies, delegation by credit union boards to committees, qualifications of the banking commissioner, and authorizing depository banks to elect benefit corporation status.

",,,,John Hunt,,12/30/2020
21-0549,relative to a private school that is approved as school tuition program by the school board.,HB 426,This bill requires an assessment study for certain septic systems prior to the sale of certain developed waterfront properties.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=549&txtFormat=html,Rick Ladd,"John Reagan, Ralph Boehm, Al Baldasaro, Carol McGuire, Glenn Cordelli, Jason Osborne, Gregory Hill, Walter Stapleton, Ruth Ward, James Allard, Erin Hennessey",12/29/2020
21-0550,"relative to the procedure for adoption of a minor child.

",HB 432,"This bill adds human trafficking to the offenses that prevent a person from being hired by a school administrative unit, school district, chartered public school, or public academy.",http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=550&txtFormat=html,Cody Belanger,"Sharon Carson, John Reagan, Max Abramson, Katherine Prudhomme-O'Brien, David Love, Mike Bordes, Melissa Blasek, Vanessa Sheehan",12/15/2020
21-0551,relative to revenue estimates while operating under emergency orders caused by the COVID-19 pandemic.,,,,Norman Major,,12/15/2020
21-0552,"establishing a committee to study the taxation of property owners on private roads.
",HB 479,This bill includes pharmacists as providers for certain covered services including Medicaid and   authorizes pharmacists to provide nicotine cessation therapy pursuant to a standing order from a physician or APRN and to be reimbursed under Medicaid.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=552&txtFormat=html,Max Abramson,,12/30/2020
21-0553,relative to the state preemption of the regulation of firearms and ammunition.,HB 423,,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=553&txtFormat=html,Norman Silber,"Linda Gould, Michael Yakubovich",12/2/2020
21-0554,proclaiming April 11 as Wentworth Cheswill Day.,HB 444,This bill makes various technical changes to the laws governing pharmacies regulated by the pharmacy board.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=554&txtFormat=html,Charlotte DiLorenzo,"Robert Renny Cushing, Michael Cahill, Linda Harriott-Gathright, Latha Mangipudi, Barbara Griffin, Betty Gay, Ellen Read, Peter Petrigno, Rebecca Perkins Kwoka",12/30/2020
21-0555,relative to the offenses that prevent employment in a school.,HB 421,"This bill clarifies that a person's decision to donate his or her own body, organ, or tissue upon death is not subject to amendment or revocation after such person's death.",http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=555&txtFormat=html,Sue Mullen,"Linda Tanner, Patricia Cornell, Stephen Woodcock, James Allard",12/9/2020
21-0556,relative to shoreland septic systems.,SB 36,This bill repeals the requirement that applicants for coverage under new policies of automobile insurance sign statements of residency.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=556&txtFormat=html,Judith Spang,David Watters,12/23/2020
21-0559,relative to an extended term of imprisonment for assaulting military personnel.,HB 429,This bill provides for in-state tuition at any institution in the university system of New Hampshire or the community college system for any person who is registered to vote in this state.  The bill also removes college or university identification cards from valid photo identification for obtaining a ballot.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=559&txtFormat=html,Mike Bordes,"David Binford, Gregg Hough, Dawn Johnson, Douglas Trottier, Travis O'Hara",12/24/2020
21-0560,relative to college or university student voting.,HB 428,This bill establishes procedures for apportioning electoral districts after the decennial census.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=560&txtFormat=html,Al Baldasaro,"Michael Moffett, Howard Pearl, Scott Wallace, Jose Cambrils",12/11/2020
21-0561,relative to membership in risk pools.,HB 422,This bill requires the one-half credit course in United States and New Hampshire government/civics that is required for high school graduation to be a separate and distinct course.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=561&txtFormat=html,Kevin Cavanaugh,Lou D'Allesandro,12/9/2020
21-0562,establishing a commission to study ways to reduce texting while driving.,HB 430,This bill repeals the prohibition on entering or remaining on a public way or sidewalk adjacent to a reproductive health care facility.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=562&txtFormat=html,Peter Torosian,"Linda Gould, John Janigian",12/15/2020
21-0563,"relative to residency under auto insurance policies.
",HB 585-FN-LOCAL,This bill allows dog owners to pay for a 3-year license that runs concurrently with the duration of a rabies vaccination.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=563&txtFormat=html,Harold French,"John Reagan, Howard Pearl, Tom Sherman, Erin Hennessey, Denise Ricciardi",12/9/2020
21-0564,relative to organ donation on a driver's license.,HB 468,This bill modifies the definition of political advocacy organization for purposes of political expenditure and contribution laws.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=564&txtFormat=html,Peter Torosian,"James Spillane, John Janigian, Tony Piemonte",12/28/2020
21-0565,relative to the board of pharmacy.,,,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=565&txtFormat=html,Gary Merchant,Linda Massimilla,12/30/2020
21-0566,"establishing a commission to study the implementation of enhanced automation of traffic lights. 
",,,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=566&txtFormat=html,Peter Torosian,"Linda Gould, James Spillane, Chris True, John Janigian",12/30/2020
21-0567,"relative to pharmacist provider status and nicotine cessation therapy.
",,,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=567&txtFormat=html,Gary Merchant,"William Marsh, Jerry Knirk, Gary Woods, Suzanne Prentiss, Brodie Deshaies, James Murphy",12/9/2020
21-0568,"relative to reimbursements for telemedicine.
",,,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=568&txtFormat=html,Jess Edwards,"John Hunt, Jason Osborne",12/29/2020
21-0569,allowing the prepayment of dog licensing fees for the duration of a rabies vaccination and reducing fines related thereto.  ,,,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=569&txtFormat=html,Erica Layon,Katherine Prudhomme-O'Brien,12/30/2020
21-0570,repealing the prohibition on entering or remaining on a public way or sidewalk adjacent to a reproductive health care facility.,,,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=570&txtFormat=html,Niki Kelsey,"Jeb Bradley, Jeanine Notter, Linda Gould, Gary Daniels, Regina Birdsell, Kevin Avard, Maureen Mooney, Walter Stapleton, Mark Pearson, Hershel Nunez, Denise Ricciardi, Matthew Simon, Vanessa Sheehan, Tim Baxter",12/30/2020
21-0571,relative to the one-half credit required course in United States and New Hampshire government and civics.,,,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=571&txtFormat=html,John Janigian,"Robert Elliott, Michael Edgar, Betty Gay, Peter Torosian",12/22/2020
21-0572,relative to the procedures for apportioning electoral districts.,,,,Dan Wolf,"Marjorie Smith, Karen Ebel, Edward Gordon, Betty Gay",12/24/2020
21-0582,relative to the portion of a minimum sentence to be served to be eligible for parole.,HB 486-FN,This bill increases the income and property value criteria for claimants of the low and moderate income homeowners property tax relief against statewide education property taxes.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=582&txtFormat=html,Linda Harriott-Gathright,"Patricia Klee, Ray Newman, Daryl Abbas",12/29/2020
21-0584,establishing a renter's insurance notification requirement.,,,,John Janigian,"Chuck Morse, Michael Edgar, Betty Gay, Daryl Abbas, Everett McBride",12/9/2020
21-0585,requiring the Gorham town clerk to be appointed by the board of selectmen.,,,,William Hatch,,12/9/2020
21-0588,relative to the definition of political advocacy organization.,HB 465-FN,This bill requires business organizations and labor unions to make political contributions through segregated funds.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=588&txtFormat=html,Connie Lane,,12/30/2020
21-0589,relative to current use tax rate eligibility.,,,,Ellen Read,Rosemarie Rung,12/30/2020
21-0591,"relative to cruelty to a wild animal, fish, or wild bird.",HB 466,"This bill requires a condominium unit owner who contracts for property management, maintenance, or improvements business with the condominium recuse himself or herself from any participation in or vote on the awarding of the contract.  Any such relationship shall be disclosed by the unit owners' association.",http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=591&txtFormat=html,Ellen Read,"Jeb Bradley, David Watters, Janet Wall, Debra DeSimone, Patrick Abrami, David Danielson, James Spillane, Betty Gay, Kate Murray, Tom Sherman, Amanda Toll",12/30/2020
21-0593, relative to contract powers of condominium unit owners' associations.,HB 529-FN,"This bill establishes an enhanced criminal penalty for cruelty to any wild animal, fish, or wild bird.",http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=593&txtFormat=html,Ellen Read,Tom Sherman,12/1/2020
21-0594,relative to the term served by a bail commissioner.,,,,Ross Berry,,1/4/2021
21-0596,"relative to permissible campaign contributions by business organizations and labor unions.
",HB 453,This bill protects journalists from having to disclose their sources under subpoena.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=596&txtFormat=html,Ellen Read,"Robert Elliott, Timothy Smith, Joseph Guthrie, Betty Gay, Jerry Knirk, Charlotte DiLorenzo, Chuck Grassie, Connie Lane",12/3/2020
21-0597,limiting renewal of states of emergency.,,,,Andrew Prout,Lynne Ober,12/3/2020
21-0600,relative to guardianship by grandparents.,SB 21,"This bill provides that the change to the quorum for the Pease development authority board of directors made pursuant to HB 243 (2019, 256) shall not take effect on April 30, 2021.  The quorum required under current law shall remain unchanged.",http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=600&txtFormat=html,Harold French,"Sharon Carson, David Watters, John Reagan, Kevin Avard, Jay Kahn, Bill Gannon, Tom Sherman, Erin Hennessey, Suzanne Prentiss, Rebecca Whitley",12/22/2020
21-0601,relative to the commission to study school funding.,,,,Glenn Cordelli,"Kenneth Weyler, Ralph Boehm, Al Baldasaro, Claire Rouillard",12/29/2020
21-0602,relative to eligibility for the low and moderate income homeowners property tax relief.,HB 470,This bill requires the secretary of state to highlight the maximum number of votes a voter may cast for an office.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=602&txtFormat=html,Sallie Fellows,"Mary Beth Walz, Edward Gordon",12/7/2020
21-0603,prohibiting corporal punishment of children in state agency programs.,HB 435-FN,"This bill modifies the circumstances under which a driver's license may be suspended or revoked, and establishes a committee to study the creation of a restricted driving license for participants in drug court.",http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=603&txtFormat=html,Debra Altschiller,"Paul Berch, Kendall Snow, Jaci Grote, Amanda Toll",12/16/2020
21-0604,requiring The Universal Declaration of Human Rights to be placed in all public schools.,HB 431,This bill permits selectmen to supervise the performance of elected animal control officers.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=604&txtFormat=html,Ellen Read,,12/30/2020
21-0605,establishing a solid waste working group on solid waste management planning and relative to compost.,HB 52,This bill establishes new United States House of Representative districts in accordance with the latest federal decennial census.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=605&txtFormat=html,Karen Ebel,"David Watters, John Graham, Suzanne Smith, Linda Massimilla, David Milz, George Sykes, Dan Wolf, Troy Merner, Ruth Ward, Sparky Von Plinsky, Megan Murray, Erin Hennessey, Suzanne Prentiss, Rebecca Whitley",12/30/2020
21-0606,relative to municipal estimates of expenditures and revenues.,HB 53,This bill establishes new councilor districts based on the latest federal decennial census.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=606&txtFormat=html,Michael Yakubovich,Tony Piemonte,1/5/2021
21-0607,relative to the direct shipping of liquor.,HB 51,This bill establishes new state senate districts in accordance with the latest federal decennial census.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=607&txtFormat=html,Lou D'Allesandro,Chuck Morse,1/4/2021
21-0608,relative to treatment of PFAS contaminants in the drinking water of the Merrimack Village Water District.,HB 472,This bill clarifies the law regarding retroactive denials of previously paid claims under accident and health insurance.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=608&txtFormat=html,Maureen Mooney,"Sharon Carson, Robert Renny Cushing, Jeanine Notter, Kimberly Rice, Gary Daniels, Tom Sherman, Rosemarie Rung, Robert Healey, Mary Mayville",12/23/2020
21-0609,relative to animals in motor vehicles.,HB 54,This bill establishes new county commissioner districts in accordance with the latest federal decennial census.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=609&txtFormat=html,Tom Sherman,,1/5/2021
